name,code
Agathymus remingtoni,AGAREM
Agathymus stephensi,AGASTE
Agriades sp.,AGR-SP
Agraulis vanillae,AGRAVAN
Agriades cassiope,AGRCAS
Agriades glandon,AGRGLA
Agriades glandon glandon,AGRGLA
Agriades glandon franklinii,AGRGLA
Agriades glandon podarce,AGRGLA
Aguna sp.,AGU-SP
Aguna asander,AGUASA
Aguna claxon,AGUCLA
Aguna metophis,AGUMET
Allosmaitia strophius,ALLSTR
Amblyscirtes sp.,AMB-SP
Amblyscirtes aenus,AMBAEN
Amblyscirtes aesculapius,AMBAES
Amblyscirtes alternata,AMBALT
Amblyscirtes belli,AMBBEL
Amblyscirtes carolina,AMBCAR
Amblyscirtes cassus,AMBCAS
Amblyscirtes celia,AMBCEL
Amblyscirtes elissa,AMBELI
Amblyscirtes eos,AMBEOS
Amblyscirtes exoteria,AMBEXO
Amblyscirtes fimbriata,AMBFIM
Amblyscirtes hegon,AMBHEG
Amblyscirtes linda,AMBLIN
Amblyscirtes nereus,AMBNER
Amblyscirtes nysa,AMBNYS
Amblyscirtes oslari,AMBOSL
Amblyscirtes phylace,AMBPHY
Amblyscirtes reversa,AMBREV
Amblyscirtes simius,AMBSIM
Amblyscirtes texanae,AMBTEX
Amblyscirtes tolteca,AMBTOL
Amblyscirtes tolteca prenda,AMBTOL
Amblyscirtes vialis,AMBVIA
Anaea sp.,ANA-SP
Anaea aidea,ANAAID
Anaea andria,ANAAND
Anaea floridalis,ANAFLO
Anaea glycerium,ANAGLY
Anaea pithyusa,ANAPIT
Anartia sp.,ANAR-SP
Anartia chrysopelea,ANARCHR
Anartia fatima,ANARFAT
Anartia jatrophae,ANARJAT
Anatrytone sp.,ANAT-SP
Anatrytone logan,ANATLOG
Anatrytone mazai,ANATMAZ
Ancyloxypha sp.,ANC-SP
Ancyloxypha arene,ANCARE
Ancyloxypha numitor,ANCNUM
Anteos sp.,ANT-SP
Anteos clorinde,ANTCLO
Anthocharis sp.,ANTH-SP
Anthocharis cethura,ANTHCET
Anthocharis cethura pima,ANTHCET
Anthocharis lanceolata,ANTHLAN
Anthocharis midea,ANTHMID
Anthocharis sara,ANTHSAR
Anthocharis sara sara,ANTHSAR
Anthocharis sara stella,ANTHSAR
Antigonus emorsus,ANTIEMO
Anteos maerula,ANTMAE
Apodemia sp.,APO-SP
Apodemia hepburni,APOHEP
Apodemia mormo,APOMOR
Apodemia mormo virgulti,APOMOR
Apodemia mormo mejicanus,APOMOR
Apodemia mormo duryi,APOMOR
Apodemia multiplaga,APOMUL
Apodemia nais,APONAI
Apodemia nais nais,APONAI
Apodemia nais chisosensis,APONAI
Apodemia palmeri,APOPAL
Apodemia phyciodoides,APOPHY
Apodemia walkeri,APOWAL
Appias drusilla,APPDRU
Arawacus jada,ARAJAD
Arteurotia tractipennis,ARTTRA
Asbolis capucinus,ASBCAP
Ascia monuste,ASCMON
Asterocampa sp.,AST-SP
Asterocampa celtis,ASTCEL
Asterocampa clyton,ASTCLY
Asterocampa idyja argus,ASTIDY
Asterocampa leilia,ASTLEI
Astraptes sp.,ASTR-SP
Astraptes alardus,ASTRALA
Astraptes anaphus,ASTRANA
Astraptes egregius,ASTREGR
Astraptes fulgerator,ASTRFUL
Astraptes gilberti,ASTRGIL
Atalopedes campestris,ATACAM
Atlides halesus,ATLHAL
Atrytone arogos,ATRARO
Atrytonopsis sp.,ATRY-SP
Atrytonopsis cestus,ATRYCES
Atrytonopsis deva,ATRYDEV
Atrytonopsis edwardsii,ATRYEDW
Atrytonopsis hianna,ATRYHIA
Atrytonopsis hianna loammi,ATRYHIA
Atrytonopsis lunus,ATRYLUN
Atrytonopsis pittacus,ATRYPIT
